b6348b4f-1c24-4644-a136-d9c216351fcc;man;Человек;1;1;Man, njeriu, osoba, людина, нафар, homo и вот это вот всё.
43e44a0a-8df4-48c0-8412-98fc7267a187;coffee;Кофе;1;1;Состоит из 1200+ химических соединений, 1/2 из них отвечает за вкусовые качества напитка.
15778c6a-30ad-41d3-8ed3-5c924d86e101;zero;Ноль;1;1;Самый нейтральный элемент математики и вселенной.
2bcbb809-7f08-4be6-9f13-615b347ef204;one;Eдиница;1;1;Наименьшее натуральное число и правдивая сущность бита.
8a63cdd8-607f-47a8-a984-4a27ef23b951;energy;Энергия;2;0;Из-за её конечности мы не можем фигачить по 24/7, поэтому приходится фигачить только по 18/7. 
02fa36b2-3f8f-4bc3-a745-ea739d05e5db;community;Сообщество;2;0;Ты – не ты без своего комьюнити. Главное, не оказаться в комьюнити анонимных разработчиков. 
65a4302d-348c-46fe-99a2-dda6f13fe370;mathematics;Математика;2;0;Отрицательные числа изобрели должники в XIII веке, а знак равенства появился в XVI веке.
bb32c1d4-dc9c-4c39-af85-1545b857abbf;bit;Бит;2;0;Двоичный логарифм вероятности равновероятных событий или сумма произведений вероятности на двоичный логарифм вероятности при равновероятных событиях.
5654a1fa-7613-4159-b096-de1e91bcf1a8;infinity;Бесконечность;2;0;Можно ли делить на нуль? Давайте попробуем.
dc8e6f19-c531-4102-b6c6-851ffe04b352;algorithm;Алгоритм;3;0;В самом коротком алгоритме сборки кубика Рубика всего 20 шагов.
fe82db3e-8bec-4f58-add0-631028e5d226;electron;Электрон;3;0;Масса электрона равна примерно 9 × 10-31 кг = 0.000 000 000 000 000 000 000 000 000 000 9 кг.
1fdb6ca3-4630-4107-b7f9-5066912a9319;data;Данные;4;0;Пылинки в луче солнца, CVV, цвет учебника по Сопромату за 1986 год, всё это и всё остальное во вселенной.
622c76a7-3a6a-4da7-b53e-4a84808d5ba4;dimension;Измерение;4;0;Хранит в себе одновременно максимум абстракции и столько же конкретики.
a7d42d5c-8958-4882-ab54-22cef235d1c7;text;Текст;6;0;Если текста много, то можно и статью на Хабр написать.
36576f5b-1997-4ce5-809a-faae54aaa3de;datastructures;Data Structures;7;0;В IT-алхимии мы использовали дерево.
c6bc9222-4964-49aa-bea9-16928d5b8e86;electricity;Электричество;6;0;Электричество везде одинаковое, но напряжение разное. Поэтому в мире существует 13 типов штепселей.
d1097344-e3fe-4bf9-8ad9-49d3b9bd126b;bigdata;Big Data;8;0;Структурированные (и не очень) данные огромного объема или buzzword последних лет?
15e2423b-b3ee-44ef-87ef-611a5ea94b8d;2d;2D;8;0;Наша Земля, по версии Flat Earth Society.
9c7e6cbb-5446-482c-bb35-6e64599e813d;datascientist;Datascientist;9;0;Никто так и не понял, чем они занимаются, потому что 100% времени они жонглируют весами в нейронках.
3dcbb5e6-533b-46a6-b2e3-09aa94c69a30;pixel;Пиксель;10;0;Если он сгорел на экране – прощайтесь со сном и покоем.
f6388626-3de7-468f-b991-45842643f3ad;code;Код;9;0;Это мой код. Таких кодов много, но этот мой. Мой код – мой лучший друг. Это – моя жизнь...
57db5954-8b09-4e15-b64b-ca5990c1a0c0;mapreduce;Map Reduce;11;0;Параллельно вычислит петабайты данных.
245bea54-2e6a-4849-9946-b8d28a9cec7d;3d;3D;12;0;Всё становится лучше с дополнительным измерением.
3b20d3a7-9aa6-4c76-9858-088b965ac73c;processor;Процессор;9;0;Самый маленький размером с крупинку морской соли.
df614570-a4b0-4b44-8a07-f1193af93f01;table;Table;12;0;У каждого должна быть своя табличка с табличками, как и пакет с пакетами.
d9786297-c587-40d4-8f68-ae9381d5670b;coffeescript;CoffeeScript;10;0;Идеальный язык для любителей кофе и некромантии.
13c1dce1-f607-4d3b-ae3d-0c6aa8ff6ee2;robot;Робот;10;0;Маленькие (и не очень) помощники человека.
21e7b08a-d5bc-4e69-ad60-6a9626b6fcbb;time;Время;16;0;Течение времени в обратную сторону – явление в физике, полностью равносильное обычному его течению.
3ae2d30c-0d9b-49ec-8b69-fde231c43144;picture;Картинка;20;0;Если нет картинки, значит не было.
a989d9e4-9c12-4c82-8ec5-ea341705f526;programmer;Программист;10;0;Колдуны XXI века, мы проверяли.
9524d534-c06c-42f8-8997-46bf834e43ac;github;GitHub;11;0;Для любителей коммитов и рисования зелёными квадратиками.
e011c825-dc79-4ff3-a46c-2b4a92e50277;fortran;Fortran;11;0;Ранний Fortran был адским языком, но это всё равно лучше ассемблера.
7a21381c-e2e4-4d9f-b5df-d45292fa41a0;sql;SQL;13;0;Декларативное > Императивное.
21c8e2f2-7ee0-4597-aa69-9c840c8c0ecc;olapcube;OLAP cube;20;0;Отображает и суммирует много данных, даёт юзерам доступы.  
709a2c05-0a61-4aa7-8985-ce47dfd0271e;spark;Spark;17;0;Распределённо обработает неструктурированные и слабоструктурированные данные.
45ef4aba-023a-4963-b2c8-08d7e42095b5;assembler;Assembler;18;0;Для программистов с длинной бородой, видевших доисторические компьютеры.  
14d9b0f7-9607-48c3-bdae-07961e1661aa;videocard;Видеокарта;18;0;Кому в игры играть, кому нейронки обучать.
53d1387b-4763-4c2b-a5f6-2f42fd5eb8a5;coffeemachine;Кофемашина;11;0;Стоимость самой дорогой кофемашины превышает 1 000 000 рублей (хорошо хоть не евро).
a4093e42-4bed-40fb-8581-66e944bf12af;break;Перерыв;17;0;Полистать ленту, посмотреть видео с котиками или просто насладиться кофе – у каждого свой перерыв.
d12be1ba-492a-4665-922f-363d2286cee9;java;Java;11;0;Ни один язык после Java не связывался с проверяемыми исключениями.
97168cd2-1bed-464b-b002-bb7bd7e1e75b;android;Andriod;11;0;В новой версии Android из названий убрали названия десертов. Хнык-хнык.
e7fb0a05-33f5-478f-a891-d79d3dcd8073;basic;Basic;19;0;Золото на голубом – услада глаз для тех, кто в теме, а не эти ваши светлые/тёмные темы.
ead84a43-d513-4d76-9855-371acd53d4b4;deadline;Deadline;17;0;Самый эффективный подход к разработке ПО – DDD: Deadline Driven Development.
34b5bd44-0f70-48b4-8f7d-9829cd5a7d5f;fsharp;F#;12;0;F# |> I <3
d33346ad-fc6c-4ba5-9b2f-b230dd6bb1f3;program;Программа;13;0;Покажи мне свою программу, и я скажу, кто ты.
4472dfee-2c04-447f-a10b-28ce9a7efef9;shader;Shader;21;0;Профессиональный рендеринг недорого.
4bdb1dd2-4c48-49d3-abd0-593ec02ac530;habr;Habr;16;0;Может Habr уже и не торт, но другого торта не будет. 
